Temp,Beta,Weight,Delta,Reheat,Phase,Counter,Successful,Min-Cost,Max-Cost,Avg-Cost
350.000000,0.999900,8000.000000,1,5,3100,3000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,3100,3000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,3100,3000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,3100,3000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,5,3100,4000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,3100,4000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,3100,4000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,3100,4000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,3100,5000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,5,3100,5000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,3100,5000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,3100,5000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,5,5100,3000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,5100,3000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,5100,3000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,5100,3000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,5,5100,4000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,5100,4000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,5100,4000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,5100,4000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,5,5100,5000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,5100,5000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,5100,5000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,5100,5000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,5,7100,3000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,7100,3000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,7100,3000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,7100,3000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,5,7100,4000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,7100,4000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,7100,4000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,7100,4000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,5,7100,5000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,5,7100,5000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,5,7100,5000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,5,7100,5000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,10,3100,3000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,10,3100,3000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,10,3100,3000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,10,3100,3000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,10,3100,4000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,10,3100,4000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,10,3100,4000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,10,3100,4000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,10,3100,5000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,10,3100,5000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,10,3100,5000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,10,3100,5000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,10,5100,3000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,10,5100,3000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,10,5100,3000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,10,5100,3000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,10,5100,4000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,10,5100,4000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,10,5100,4000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,10,5100,4000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,10,5100,5000,4,24804,25010,24924
300.000000,0.999900,8000.000000,1,10,5100,5000,4,24804,25010,24924
400.000000,0.999900,8000.000000,1,10,5100,5000,4,24804,25010,24924
450.000000,0.999900,8000.000000,1,10,5100,5000,4,24804,25010,24924
350.000000,0.999900,8000.000000,1,10,7100,3000,4,24804,25015,24959
400.000000,0.999900,8000.000000,1,10,7100,3000,4,24804,25015,24959
300.000000,0.999900,8000.000000,1,10,7100,3000,4,24804,25015,24959
450.000000,0.999900,8000.000000,1,10,7100,3000,4,24804,25015,24959
350.000000,0.999900,8000.000000,1,10,7100,4000,4,24804,25010,24924
400.000000,0.999900,8000.000000,1,10,7100,4000,4,24804,25010,24924
300.000000,0.999900,8000.000000,1,10,7100,4000,4,24804,25010,24924
450.000000,0.999900,8000.000000,1,10,7100,4000,4,24804,25010,24924
400.000000,0.999900,8000.000000,1,10,7100,5000,4,24804,25010,24924
350.000000,0.999900,8000.000000,1,10,7100,5000,4,24804,25010,24924
300.000000,0.999900,8000.000000,1,10,7100,5000,4,24804,25010,24924
450.000000,0.999900,8000.000000,1,10,7100,5000,4,24804,25010,24924
